"Day of the Week","Time","Light Status","Light Sensor Status"
"Monday","6:30","On","On"
"Monday","7:30","Off","On"
"Monday","18:00","On","On"
"Monday","20:30","On","On"
"Monday","22:00","Off","Off"
"Monday","22:30","On","On"
"Monday","23:15","Off","Off"
"Monday","14:00","On","On"
"Tuesday","7:00","On","On"
"Tuesday","8:00","Off","On"
"Tuesday","18:30","On","On"
"Tuesday","19:00","On","On"
"Tuesday","21:00","Off","Off"
"Tuesday","22:00","On","On"
"Tuesday","23:00","Off","Off"
"Wednesday","6:00","On","On"
"Wednesday","7:15","Off","On"
"Wednesday","17:30","On","On"
"Wednesday","18:00","On","On"
"Wednesday","20:00","Off","Off"
"Wednesday","21:30","On","On"
"Wednesday","22:30","Off","Off"
"Thursday","7:00","On","On"
"Thursday","8:30","Off","On"
"Thursday","17:00","On","On"
"Thursday","18:30","On","On"
"Thursday","20:30","Off","Off"
"Thursday","22:00","On","On"
"Thursday","23:00","Off","Off"
"Friday","7:30","On","On"
"Friday","8:30","Off","On"
"Friday","18:00","On","On"
"Friday","19:00","On","On"
"Friday","20:30","On","On"
"Friday","22:00","Off","Off"
"Friday","23:30","On","On"
"Saturday","8:00","On","On"
"Saturday","9:00","Off","On"
"Saturday","17:30","On","On"
"Saturday","19:00","On","On"
"Saturday","21:00","On","On"
"Saturday","23:00","Off","Off"
"Sunday","7:30","On","On"
"Sunday","9:00","Off","On"
"Sunday","18:00","On","On"
"Sunday","19:30","On","On"
"Sunday","20:30","Off","Off"
"Sunday","22:00","On","On"
"Sunday","23:00","Off","Off"